iteration_limit,game_index,seed,winner,deciding_criterion,secured_margin_p1_minus_p2,advantage_margin_p1_minus_p2,corrected_objective_piece_margin_p1_minus_p2,first_persistent_full_lexicographic_lead_turn,first_supply_securing_turn,final_secured_supply_count,final_p1_secured_supply_count,final_p2_secured_supply_count,supply_placements,objective_placements,supply_placement_share,objective_placement_share,sample
30000,56,1151000055,2,secured_objectives,-1,3,3,24,8,5,2,3,36,36,0.5,0.5,issue-112-corrected
30000,57,1151000056,1,secured_objectives,1,1,2,23,3,5,2,3,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
30000,58,1151000057,1,secured_objectives,1,-2,-3,17,10,5,2,3,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
30000,59,1151000058,2,secured_objectives,-1,3,4,20,6,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,60,1151000059,1,secured_objectives,1,0,0,7,11,3,1,2,42,30,0.5833333333333334,0.4166666666666667,issue-112-corrected
30000,61,1151000060,2,secured_objectives,-1,1,2,24,3,5,2,3,36,36,0.5,0.5,issue-112-corrected
30000,62,1151000061,1,secured_objectives,2,-2,-2,17,7,5,2,3,43,29,0.5972222222222222,0.4027777777777778,issue-112-corrected
30000,63,1151000062,2,secured_objectives,-1,1,2,24,6,5,2,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,64,1151000063,1,advantage_objectives,0,1,2,23,8,3,0,3,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
30000,65,1151000064,2,advantage_objectives,0,-1,-2,22,7,4,2,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,66,1151000065,1,secured_objectives,1,1,2,11,5,4,2,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,67,1151000066,2,secured_objectives,-1,2,3,22,7,4,2,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,68,1151000067,1,advantage_objectives,0,1,0,23,4,5,3,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,69,1151000068,2,secured_objectives,-1,1,2,24,4,2,0,2,36,36,0.5,0.5,issue-112-corrected
30000,70,1151000069,2,objective_pieces,0,0,-1,24,6,6,2,4,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,71,1151000070,2,secured_objectives,-1,0,1,24,5,4,2,2,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
30000,72,1151000071,1,secured_objectives,2,-2,-4,21,9,4,2,2,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,73,1151000072,2,secured_objectives,-1,2,2,24,6,4,1,3,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,74,1151000073,0,draw,0,0,0,,4,4,1,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,75,1151000074,1,advantage_objectives,0,2,2,15,7,5,2,3,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
30000,76,1151000075,1,secured_objectives,2,-2,-4,21,6,5,4,1,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,77,1151000076,1,advantage_objectives,0,1,2,15,7,3,1,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,78,1151000077,0,draw,0,0,0,,9,5,3,2,42,30,0.5833333333333334,0.4166666666666667,issue-112-corrected
30000,79,1151000078,1,secured_objectives,1,1,0,3,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,80,1151000079,1,secured_objectives,2,-3,-3,23,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,81,1151000080,0,draw,0,0,0,,6,4,2,2,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
30000,82,1151000081,1,advantage_objectives,0,1,1,23,3,4,2,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,83,1151000082,0,draw,0,0,0,,6,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,84,1151000083,2,advantage_objectives,0,-1,0,24,6,5,2,3,42,30,0.5833333333333334,0.4166666666666667,issue-112-corrected
30000,85,1151000084,2,secured_objectives,-1,2,4,24,7,3,1,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
30000,86,1151000085,1,advantage_objectives,0,1,2,5,7,5,1,4,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
30000,87,1151000086,0,draw,0,0,0,,11,3,1,2,36,36,0.5,0.5,issue-112-corrected
30000,88,1151000087,2,secured_objectives,-1,0,0,14,4,6,4,2,49,23,0.6805555555555556,0.3194444444444444,issue-112-corrected
30000,89,1151000088,2,secured_objectives,-1,3,5,22,7,3,1,2,40,32,0.5555555555555556,0.4444444444444444,issue-112-corrected
30000,90,1151000089,2,secured_objectives,-1,1,2,24,4,4,2,2,36,36,0.5,0.5,issue-112-corrected
30000,91,1151000090,1,secured_objectives,1,-1,-1,23,13,2,1,1,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,92,1151000091,1,secured_objectives,1,-1,-2,21,5,5,2,3,41,31,0.5694444444444444,0.4305555555555556,issue-112-corrected
30000,93,1151000092,1,secured_objectives,1,1,1,3,5,4,2,2,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
30000,94,1151000093,1,advantage_objectives,0,2,3,23,7,4,1,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,95,1151000094,2,secured_objectives,-1,3,3,24,4,5,3,2,36,36,0.5,0.5,issue-112-corrected
30000,96,1151000095,1,secured_objectives,1,2,1,15,7,3,2,1,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
30000,97,1151000096,0,draw,0,0,0,,6,3,1,2,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
30000,98,1151000097,2,secured_objectives,-1,2,2,22,8,5,2,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
30000,99,1151000098,2,secured_objectives,-1,2,3,22,6,3,1,2,36,36,0.5,0.5,issue-112-corrected
