experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_placement,placement_player_game_frequency,pieces_placed,pieces_placed_per_player_game,mean_first_placement_turn,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,player_games_secured,secured_frequency,mean_first_securing_turn,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-30000-self-play,30000,S02,edge,200,45,0.225,51,0.255,19.311111,34,0.17,20.029412,34,0.17,20.029412,88,10,98,0.018333,0.002083,0.020417,0.959167,0.037083,1,0.005,15,88,1,0.011364,28,1,0.035714,6,6,0.03,5,0.025,0.03,0.015,6,1,1.0,0.115,0.005,0.12
uct-30000-self-play,30000,S03,edge,200,43,0.215,54,0.27,19.209302,34,0.17,19.676471,34,0.17,19.676471,117,17,134,0.024375,0.003542,0.027917,0.944167,0.029167,2,0.01,16.5,78,2,0.025641,29,2,0.068966,20,20,0.1,12,0.06,0.075,0.0375,20,2,1.0,0.125,0.01,0.135
uct-30000-self-play,30000,S04,corner,200,23,0.115,24,0.12,23.434783,22,0.11,23.409091,22,0.11,23.409091,34,0,34,0.007083,0.0,0.007083,0.985833,0.000417,0,0.0,0.0,3,0,0.0,3,0,0.0,1,1,0.005,1,0.005,0.005,0.005,1,0,0.0,0.105,0.0,0.105
uct-30000-self-play,30000,S10,edge,200,34,0.17,37,0.185,17.911765,25,0.125,18.56,25,0.125,18.56,82,0,82,0.017083,0.0,0.017083,0.965833,0.033333,0,0.0,0.0,96,0,0.0,23,0,0.0,10,10,0.05,8,0.04,0.045,0.0225,10,0,0.0,0.08,0.0,0.08
uct-30000-self-play,30000,S11,interior,200,167,0.835,328,1.64,7.844311,106,0.53,7.528302,120,0.6,7.875,581,563,1144,0.121042,0.117292,0.238333,0.523333,0.52375,45,0.225,12.488889,788,45,0.057107,159,45,0.283019,324,324,1.62,78,0.39,0.885,0.22125,324,188,4.177778,0.13,0.225,0.355
uct-30000-self-play,30000,S12,interior,200,185,0.925,359,1.795,5.913514,111,0.555,5.675676,129,0.645,6.302326,703,639,1342,0.146458,0.133125,0.279583,0.440833,0.654583,50,0.25,12.22,1036,50,0.048263,181,50,0.276243,392,392,1.96,88,0.44,1.14,0.285,392,197,3.94,0.115,0.25,0.365
uct-30000-self-play,30000,S13,interior,200,171,0.855,318,1.59,8.040936,108,0.54,7.351852,117,0.585,7.547009,569,548,1117,0.118542,0.114167,0.232708,0.534583,0.533333,41,0.205,11.634146,813,41,0.050431,161,41,0.254658,313,313,1.565,81,0.405,0.89,0.2225,313,170,4.146341,0.145,0.205,0.35
uct-30000-self-play,30000,S14,edge,200,31,0.155,35,0.175,20.709677,28,0.14,20.785714,29,0.145,20.793103,104,4,108,0.021667,0.000833,0.0225,0.955,0.00625,1,0.005,21,40,1,0.025,19,1,0.052632,15,15,0.075,11,0.055,0.065,0.0325,15,1,1.0,0.125,0.005,0.13
uct-30000-self-play,30000,S20,edge,200,33,0.165,39,0.195,21.636364,26,0.13,21.5,26,0.13,21.5,72,0,72,0.015,0.0,0.015,0.97,0.00875,0,0.0,0.0,33,0,0.0,14,0,0.0,5,5,0.025,4,0.02,0.025,0.0125,5,0,0.0,0.095,0.0,0.095
uct-30000-self-play,30000,S21,interior,200,174,0.87,330,1.65,6.545977,112,0.56,5.776786,123,0.615,5.95122,637,632,1269,0.132708,0.131667,0.264375,0.47125,0.59,45,0.225,10.955556,887,45,0.050733,166,45,0.271084,378,378,1.89,87,0.435,1.045,0.26125,378,184,4.088889,0.09,0.225,0.315
uct-30000-self-play,30000,S22,interior,200,186,0.93,383,1.915,4.564516,116,0.58,3.387931,136,0.68,4.257353,824,856,1680,0.171667,0.178333,0.35,0.3,0.684583,61,0.305,10.967213,966,61,0.063147,177,61,0.344633,454,454,2.27,108,0.54,1.23,0.3075,454,247,4.04918,0.085,0.305,0.39
