"board","search_level","window_turns","metric","games","value","median","ci_low","ci_high","primary"
"6x6","seeded-random","4","mean_p2_led_regions","100","2.685833","2.645834","2.562083","2.811250","false"
"6x6","seeded-random","4","mean_led_regions","100","5.942917","6.020833","5.841250","6.045625","false"
"6x6","seeded-random","4","mean_opposition_breadth","100","2.271042","2.250000","2.194375","2.352083","false"
"6x6","seeded-random","4","mean_opportunity_adjusted_activity","100","5.558199","5.599195","5.460074","5.653898","false"
"6x6","seeded-random","4","focus_switch_rate","96","0.872429","1.000000","0.833982","0.908726","false"
"6x6","seeded-random","4","focus_eligible_fraction","100","0.098085","0.085106","0.087660","0.108298","false"
"6x6","seeded-random","4","no_dominant_turn_rate","100","0.687917","0.708333","0.673125","0.701875","false"
"6x6","seeded-random","4","mean_focus_persistence","100","1.036547","1.000000","1.027465","1.045909","false"
"6x6","seeded-random","4","mean_focus_switch_distance","95","1.939582","2.000000","1.830927","2.054870","false"
"6x6","uct-0100","4","mean_active_regions","50","5.500417","5.593750","5.406667","5.598333","false"
"6x6","uct-0100","4","multi_active_turn_rate","50","0.936667","0.937500","0.927917","0.945000","false"
"6x6","uct-0100","4","longest_multi_active_run","50","44.800000","45.000000","44.320000","45.260000","false"
"6x6","uct-0100","4","longest_multi_active_run_fraction","50","0.933333","0.937500","0.922917","0.942917","false"
"6x6","uct-0100","4","mean_multi_active_run","50","44.060000","45.000000","42.620000","45.160000","false"
"6x6","uct-0100","4","mean_multi_active_run_fraction","50","0.917917","0.937500","0.887083","0.940833","false"
"6x6","uct-0100","4","mean_both_invested_regions","50","2.058750","2.083333","1.982083","2.130000","false"
"6x6","uct-0100","4","multi_both_invested_turn_rate","50","0.701667","0.708333","0.672083","0.732917","false"
"6x6","uct-0100","4","mixed_leadership_turn_rate","50","0.871667","0.875000","0.858333","0.883750","false"
"6x6","uct-0100","4","longest_mixed_leadership_run","50","40.980000","42.000000","39.920000","41.940000","false"
