"board","search_level","threshold","revisit_lag","count","fraction"
"6x6","uct-1000","1","5","199","0.067003"
"6x6","uct-1000","1","6","93","0.031313"
"6x6","uct-1000","1","7","90","0.030303"
"6x6","uct-1000","1","8","44","0.014815"
"6x6","uct-1000","1","9","54","0.018182"
"6x6","uct-1000","1","10","35","0.011785"
"6x6","uct-1000","1","11","23","0.007744"
"6x6","uct-1000","1","12","17","0.005724"
"6x6","uct-1000","1","13","12","0.004040"
"6x6","uct-1000","1","14","8","0.002694"
"6x6","uct-1000","1","15","9","0.003030"
"6x6","uct-1000","1","16","3","0.001010"
"6x6","uct-1000","1","17","1","0.000337"
"6x6","uct-1000","1","18","1","0.000337"
"6x6","uct-1000","1","20","5","0.001684"
"6x6","uct-1000","1","22","4","0.001347"
"6x6","uct-1000","1","23","3","0.001010"
"6x6","uct-1000","1","24","1","0.000337"
"6x6","uct-1000","1","27","1","0.000337"
"6x6","uct-1000","2","2","478","0.279369"
"6x6","uct-1000","2","3","435","0.254237"
"6x6","uct-1000","2","4","195","0.113968"
"6x6","uct-1000","2","5","199","0.116306"
"6x6","uct-1000","2","6","93","0.054354"
"6x6","uct-1000","2","7","90","0.052601"
"6x6","uct-1000","2","8","44","0.025716"
"6x6","uct-1000","2","9","54","0.031560"
"6x6","uct-1000","2","10","35","0.020456"
"6x6","uct-1000","2","11","23","0.013442"
"6x6","uct-1000","2","12","17","0.009936"
"6x6","uct-1000","2","13","12","0.007013"
"6x6","uct-1000","2","14","8","0.004676"
"6x6","uct-1000","2","15","9","0.005260"
"6x6","uct-1000","2","16","3","0.001753"
"6x6","uct-1000","2","17","1","0.000584"
"6x6","uct-1000","2","18","1","0.000584"
"6x6","uct-1000","2","20","5","0.002922"
"6x6","uct-1000","2","22","4","0.002338"
"6x6","uct-1000","2","23","3","0.001753"
"6x6","uct-1000","2","24","1","0.000584"
"6x6","uct-1000","2","27","1","0.000584"
"6x6","uct-1000","3","3","435","0.352798"
"6x6","uct-1000","3","4","195","0.158151"
"6x6","uct-1000","3","5","199","0.161395"
"6x6","uct-1000","3","6","93","0.075426"
"6x6","uct-1000","3","7","90","0.072993"
"6x6","uct-1000","3","8","44","0.035685"
"6x6","uct-1000","3","9","54","0.043796"
"6x6","uct-1000","3","10","35","0.028386"
"6x6","uct-1000","3","11","23","0.018654"
"6x6","uct-1000","3","12","17","0.013788"
"6x6","uct-1000","3","13","12","0.009732"
"6x6","uct-1000","3","14","8","0.006488"
"6x6","uct-1000","3","15","9","0.007299"
"6x6","uct-1000","3","16","3","0.002433"
"6x6","uct-1000","3","17","1","0.000811"
"6x6","uct-1000","3","18","1","0.000811"
"6x6","uct-1000","3","20","5","0.004055"
"6x6","uct-1000","3","22","4","0.003244"
"6x6","uct-1000","3","23","3","0.002433"
"6x6","uct-1000","3","24","1","0.000811"
"6x6","uct-1000","3","27","1","0.000811"
