checkpoint_turn,feature,uct_10000_standardized_mean_difference,uct_3000_standardized_mean_difference,direction_agreement,uct_10000_direction,uct_3000_direction
16,leader_trend_2_usable_support_edges,-0.335866,-0.116945,1,lower_in_reversal,lower_in_reversal
16,leader_trend_4_advantage_objective_margin,0.056484,-0.088867,0,higher_in_reversal,lower_in_reversal
16,leader_trend_4_important_control_margin,-0.116873,-0.439393,1,lower_in_reversal,lower_in_reversal
16,leader_trend_4_objective_piece_margin,0.025481,-0.162973,0,higher_in_reversal,lower_in_reversal
16,leader_trend_4_secured_objective_margin,-0.084252,0.156525,0,lower_in_reversal,higher_in_reversal
16,leader_trend_4_secured_supply_margin,0.124065,-0.319336,0,higher_in_reversal,lower_in_reversal
16,leader_trend_4_support_edge_margin,-0.027411,-0.237007,1,lower_in_reversal,lower_in_reversal
16,leader_trend_4_unsecured_control_margin,-0.079283,0.267158,0,lower_in_reversal,higher_in_reversal
16,leader_trend_4_usable_support_edges,0.040233,-0.291569,0,higher_in_reversal,lower_in_reversal
16,leader_unsecured_controlled_supply,0.286869,0.044738,1,higher_in_reversal,higher_in_reversal
16,leader_unsecured_controlled_supply_margin,0.30905,0.274026,1,higher_in_reversal,higher_in_reversal
16,leader_usable_supply_support_edge_margin,-0.245415,-0.71913,1,lower_in_reversal,lower_in_reversal
16,leader_usable_supply_support_edges,-0.329005,-0.189391,1,lower_in_reversal,lower_in_reversal
16,live_objectives,-0.247627,0.096104,0,lower_in_reversal,higher_in_reversal
16,opponent_advantage_objectives,-0.115761,-0.060224,1,lower_in_reversal,lower_in_reversal
16,opponent_cumulative_objective_placements,0.283993,0.011908,1,higher_in_reversal,higher_in_reversal
16,opponent_cumulative_objective_share,0.283993,0.011908,1,higher_in_reversal,higher_in_reversal
16,opponent_cumulative_supply_placements,-0.283993,-0.011908,1,lower_in_reversal,lower_in_reversal
16,opponent_cumulative_supply_source_usage,0.283993,0.011908,1,higher_in_reversal,higher_in_reversal
16,opponent_objective_pieces,0.283993,0.011908,1,higher_in_reversal,higher_in_reversal
16,opponent_primary_important_sites_controlled,-0.076442,0.385533,0,lower_in_reversal,higher_in_reversal
16,opponent_recent_2_important_site_usage,-0.24535,-0.085918,1,lower_in_reversal,lower_in_reversal
16,opponent_recent_2_objective_placements,-0.257562,-0.258182,1,lower_in_reversal,lower_in_reversal
16,opponent_recent_2_supply_placements,0.257562,0.258182,1,higher_in_reversal,higher_in_reversal
16,opponent_recent_4_important_site_usage,-0.253244,0.087841,0,lower_in_reversal,higher_in_reversal
16,opponent_recent_4_objective_placements,-0.025772,-0.059468,1,lower_in_reversal,lower_in_reversal
16,opponent_recent_4_supply_allocation_change,0.427171,0.298599,1,higher_in_reversal,higher_in_reversal
16,opponent_recent_4_supply_placements,0.025772,0.059468,1,higher_in_reversal,higher_in_reversal
16,opponent_secured_objectives,0.258282,-0.226653,0,higher_in_reversal,lower_in_reversal
16,opponent_secured_supply,0.088807,0.390849,1,higher_in_reversal,higher_in_reversal
16,opponent_trend_2_usable_support_edges,0.159418,0.222712,1,higher_in_reversal,higher_in_reversal
16,opponent_trend_4_usable_support_edges,0.069479,0.073827,1,higher_in_reversal,higher_in_reversal
16,opponent_unsecured_controlled_supply,-0.06241,-0.235286,1,lower_in_reversal,lower_in_reversal
16,opponent_usable_supply_support_edges,-0.041763,0.640082,0,lower_in_reversal,higher_in_reversal
20,S12_leader_relative_state,-0.185753,-0.267517,1,lower_in_reversal,lower_in_reversal
20,S13_leader_relative_state,-0.176401,-0.506992,1,lower_in_reversal,lower_in_reversal
20,S21_leader_relative_state,0.34746,-0.480133,0,higher_in_reversal,lower_in_reversal
20,S22_leader_relative_state,0.337136,0.104031,1,higher_in_reversal,higher_in_reversal
20,S23_leader_relative_state,0.103082,-0.209529,0,higher_in_reversal,lower_in_reversal
20,contested_supply_count,0.003381,0.165903,1,higher_in_reversal,higher_in_reversal
20,decisive_layer_advantage_objectives,-0.272833,-0.229971,1,lower_in_reversal,lower_in_reversal
20,decisive_layer_objective_pieces,0.525103,0.060555,1,higher_in_reversal,higher_in_reversal
20,decisive_layer_secured_objectives,-0.033503,0.193432,0,lower_in_reversal,higher_in_reversal
20,decisive_margin,-0.199747,-0.265894,1,lower_in_reversal,lower_in_reversal
20,leader_advantage_objective_margin,-0.369725,-0.158855,1,lower_in_reversal,lower_in_reversal
20,leader_advantage_objectives,-0.309808,-0.259185,1,lower_in_reversal,lower_in_reversal
20,leader_cumulative_objective_placements,-0.025941,-0.346662,1,lower_in_reversal,lower_in_reversal
20,leader_cumulative_objective_share,-0.025941,-0.346662,1,lower_in_reversal,lower_in_reversal
20,leader_cumulative_objective_share_margin,-0.115911,0.005553,0,lower_in_reversal,higher_in_reversal
20,leader_cumulative_supply_placements,0.025941,0.346662,1,higher_in_reversal,higher_in_reversal
20,leader_cumulative_supply_source_usage,-0.025941,-0.346662,1,lower_in_reversal,lower_in_reversal
