experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference
uct-10000-self-play,12,opponent_trend_4_usable_support_edges,37,35,-1.027027,-2.0,0.142857,0.0,-0.299611,lower_in_reversal,0.299611
uct-10000-self-play,12,leader_trend_4_important_control_margin,37,35,0.135135,0.0,-0.028571,0.0,0.166963,higher_in_reversal,0.166963
uct-10000-self-play,12,S23_leader_relative_state,37,35,0.216216,0.0,0.114286,0.0,0.089002,higher_in_reversal,0.089002
uct-10000-self-play,12,S21_leader_relative_state,37,35,-0.108108,0.0,-0.314286,0.0,0.191537,higher_in_reversal,0.191537
uct-10000-self-play,12,S12_leader_relative_state,37,35,-0.405405,0.0,-0.057143,0.0,-0.305775,lower_in_reversal,0.305775
uct-10000-self-play,12,S13_leader_relative_state,37,35,-0.108108,0.0,0.257143,0.0,-0.314769,lower_in_reversal,0.314769
uct-10000-self-play,12,S22_leader_relative_state,37,35,0.081081,0.0,-0.171429,0.0,0.198104,higher_in_reversal,0.198104
uct-10000-self-play,16,leader_secured_objective_margin,39,41,0.717949,1.0,0.804878,1.0,-0.144225,lower_in_reversal,0.144225
uct-10000-self-play,16,leader_advantage_objective_margin,39,41,-0.615385,-1.0,-0.707317,-1.0,0.064651,higher_in_reversal,0.064651
uct-10000-self-play,16,leader_objective_piece_margin,39,41,0.153846,0.0,0.146341,0.0,0.007401,higher_in_reversal,0.007401
uct-10000-self-play,16,live_objectives,39,41,10.307692,11.0,10.609756,11.0,-0.247627,lower_in_reversal,0.247627
uct-10000-self-play,16,leader_secured_objectives,39,41,3.205128,3.0,3.097561,3.0,0.179635,higher_in_reversal,0.179635
uct-10000-self-play,16,opponent_secured_objectives,39,41,2.487179,2.0,2.292683,2.0,0.258282,higher_in_reversal,0.258282
uct-10000-self-play,16,leader_advantage_objectives,39,41,1.307692,1.0,1.317073,1.0,-0.00982,lower_in_reversal,0.00982
uct-10000-self-play,16,opponent_advantage_objectives,39,41,1.923077,2.0,2.02439,2.0,-0.115761,lower_in_reversal,0.115761
uct-10000-self-play,16,leader_objective_pieces,39,41,11.666667,12.0,11.170732,11.0,0.256112,higher_in_reversal,0.256112
uct-10000-self-play,16,opponent_objective_pieces,39,41,11.512821,11.0,11.02439,11.0,0.283993,higher_in_reversal,0.283993
uct-10000-self-play,16,decisive_margin,39,41,1.051282,1.0,1.195122,1.0,-0.439983,lower_in_reversal,0.439983
uct-10000-self-play,16,decisive_layer_secured_objectives,39,41,0.692308,1.0,0.658537,1.0,0.071242,higher_in_reversal,0.071242
uct-10000-self-play,16,decisive_layer_advantage_objectives,39,41,0.25641,0.0,0.292683,0.0,-0.08028,lower_in_reversal,0.08028
uct-10000-self-play,16,decisive_layer_objective_pieces,39,41,0.051282,0.0,0.04878,0.0,0.011334,higher_in_reversal,0.011334
uct-10000-self-play,16,leader_secured_supply,39,41,1.205128,1.0,1.463415,2.0,-0.314663,lower_in_reversal,0.314663
uct-10000-self-play,16,opponent_secured_supply,39,41,1.358974,1.0,1.292683,1.0,0.088807,higher_in_reversal,0.088807
uct-10000-self-play,16,leader_secured_supply_margin,39,41,-0.153846,0.0,0.170732,0.0,-0.294289,lower_in_reversal,0.294289
