"board","experiment_id","search_level","game_index","censor_mode","cohort_regions","final_band_survival_rate","mechanically_closed_rate","resolved_or_settled_rate","end_censored_rate","selectively_abandoned_rate"
"3x3","3x3-seeded-random","seeded-random","69","0.1","7","1.000000","0.000000","0.571429","0.428571","0.000000"
"3x3","3x3-seeded-random","seeded-random","69","0.2","7","1.000000","0.000000","0.571429","0.428571","0.000000"
"3x3","3x3-seeded-random","seeded-random","70","turns4","7","1.000000","0.000000","0.428571","0.428571","0.142857"
"3x3","3x3-seeded-random","seeded-random","70","0.1","7","1.000000","0.000000","0.428571","0.142857","0.428571"
"3x3","3x3-seeded-random","seeded-random","70","0.2","7","1.000000","0.000000","0.428571","0.428571","0.142857"
"3x3","3x3-seeded-random","seeded-random","71","turns4","8","0.750000","0.125000","0.375000","0.375000","0.125000"
"3x3","3x3-seeded-random","seeded-random","71","0.1","8","0.750000","0.125000","0.375000","0.250000","0.250000"
"3x3","3x3-seeded-random","seeded-random","71","0.2","8","0.750000","0.125000","0.375000","0.375000","0.125000"
"3x3","3x3-seeded-random","seeded-random","72","turns4","7","0.857143","0.000000","0.571429","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","72","0.1","7","0.857143","0.000000","0.571429","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","72","0.2","7","0.857143","0.000000","0.571429","0.285714","0.142857"
"3x3","3x3-seeded-random","seeded-random","73","turns4","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","73","0.1","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","73","0.2","6","0.833333","0.000000","0.500000","0.333333","0.166667"
"3x3","3x3-seeded-random","seeded-random","74","turns4","5","0.800000","0.000000","0.600000","0.400000","0.000000"
"3x3","3x3-seeded-random","seeded-random","74","0.1","5","0.800000","0.000000","0.600000","0.200000","0.200000"
"3x3","3x3-seeded-random","seeded-random","74","0.2","5","0.800000","0.000000","0.600000","0.400000","0.000000"
"3x3","3x3-seeded-random","seeded-random","75","turns4","7","0.714286","0.000000","0.428571","0.142857","0.428571"
"3x3","3x3-seeded-random","seeded-random","75","0.1","7","0.714286","0.000000","0.428571","0.000000","0.571429"
"3x3","3x3-seeded-random","seeded-random","75","0.2","7","0.714286","0.000000","0.428571","0.142857","0.428571"
"3x3","3x3-seeded-random","seeded-random","76","turns4","5","0.600000","0.000000","0.400000","0.200000","0.400000"
"3x3","3x3-seeded-random","seeded-random","76","0.1","5","0.600000","0.000000","0.400000","0.200000","0.400000"
"3x3","3x3-seeded-random","seeded-random","76","0.2","5","0.600000","0.000000","0.400000","0.200000","0.400000"
"3x3","3x3-seeded-random","seeded-random","77","turns4","7","0.714286","0.000000","0.428571","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","77","0.1","7","0.714286","0.000000","0.428571","0.142857","0.428571"
"3x3","3x3-seeded-random","seeded-random","77","0.2","7","0.714286","0.000000","0.428571","0.285714","0.285714"
"3x3","3x3-seeded-random","seeded-random","78","turns4","4","0.750000","0.000000","0.000000","0.500000","0.500000"
"3x3","3x3-seeded-random","seeded-random","78","0.1","4","0.750000","0.000000","0.000000","0.250000","0.750000"
