"board","search_level","band","metric","games","value","ci_low","ci_high","primary"
"3x3","uct-0500","3","placement_largest_share","100","0.285833","0.273333","0.299167","false"
"3x3","uct-0500","3","opportunity_largest_share","100","0.217322","0.213363","0.221205","false"
"3x3","uct-0500","3","largest_share_gap","100","0.068511","0.055292","0.082335","false"
"3x3","uct-0500","3","placement_top_two_share","100","0.500000","0.480833","0.518333","false"
"3x3","uct-0500","3","opportunity_top_two_share","100","0.359172","0.354932","0.363287","false"
"3x3","uct-0500","3","top_two_share_gap","100","0.140828","0.123972","0.159406","false"
"3x3","uct-0500","3","placement_regions","100","6.300000","6.120000","6.490000","false"
"3x3","uct-0500","3","opportunity_regions","100","8.980000","8.950000","9.000000","false"
"3x3","uct-0500","4","mean_active_fronts","100","3.840000","3.676000","4.012000","false"
"3x3","uct-0500","4","mean_dormant_fronts","100","0.996000","0.906000","1.088000","false"
"3x3","uct-0500","4","mean_backlog","100","1.992000","1.854000","2.128000","false"
"3x3","uct-0500","4","multi_active_turn_rate","100","0.984000","0.964000","0.998000","false"
"3x3","uct-0500","4","multi_unattended_turn_rate","100","0.674000","0.614000","0.738000","false"
"3x3","uct-0500","4","decline_from_game_peak","100","1.270000","1.140000","1.398000","false"
"3x3","uct-0500","4","placement_entropy","100","0.779722","0.763157","0.796263","false"
"3x3","uct-0500","4","opportunity_entropy","100","0.942260","0.937836","0.946345","false"
"3x3","uct-0500","4","entropy_gap","100","-0.162538","-0.179049","-0.146713","false"
"3x3","uct-0500","4","placement_hhi","100","0.209067","0.199733","0.218844","false"
"3x3","uct-0500","4","opportunity_hhi","100","0.139285","0.137532","0.141113","false"
"3x3","uct-0500","4","hhi_gap","100","0.069782","0.060923","0.079587","false"
"3x3","uct-0500","4","placement_largest_share","100","0.312000","0.297333","0.327333","false"
"3x3","uct-0500","4","opportunity_largest_share","100","0.229768","0.224487","0.235067","false"
"3x3","uct-0500","4","largest_share_gap","100","0.082232","0.066573","0.098345","false"
"3x3","uct-0500","4","placement_top_two_share","100","0.526000","0.508000","0.545333","false"
"3x3","uct-0500","4","opportunity_top_two_share","100","0.381532","0.376200","0.387367","false"
"3x3","uct-0500","4","top_two_share_gap","100","0.144468","0.125187","0.164018","false"
"3x3","uct-0500","4","placement_regions","100","6.570000","6.350000","6.760000","false"
"3x3","uct-0500","4","opportunity_regions","100","8.840000","8.760000","8.910000","false"
"3x3","uct-1000","1","mean_active_fronts","100","1.377500","1.272500","1.482500","true"
"3x3","uct-1000","1","mean_dormant_fronts","100","0.082500","0.057500","0.107500","true"
"3x3","uct-1000","1","mean_backlog","100","0.375000","0.322500","0.425000","true"
"3x3","uct-1000","1","multi_active_turn_rate","100","0.475000","0.417500","0.530000","true"
"3x3","uct-1000","1","multi_unattended_turn_rate","100","0.055000","0.035000","0.080000","true"
"3x3","uct-1000","1","decline_from_game_peak","100","3.242500","3.007500","3.452500","true"
"3x3","uct-1000","1","placement_entropy","100","0.697847","0.678098","0.717497","true"
"3x3","uct-1000","1","opportunity_entropy","100","0.957471","0.956065","0.958841","true"
"3x3","uct-1000","1","entropy_gap","100","-0.259624","-0.279214","-0.239474","true"
"3x3","uct-1000","1","placement_hhi","100","0.252361","0.239861","0.266528","true"
"3x3","uct-1000","1","opportunity_hhi","100","0.134247","0.133530","0.135020","true"
"3x3","uct-1000","1","hhi_gap","100","0.118114","0.104901","0.131958","true"
"3x3","uct-1000","1","placement_largest_share","100","0.360000","0.340833","0.380833","true"
"3x3","uct-1000","1","opportunity_largest_share","100","0.232594","0.230637","0.234603","true"
"3x3","uct-1000","1","largest_share_gap","100","0.127406","0.108531","0.147213","true"
"3x3","uct-1000","1","placement_top_two_share","100","0.597500","0.575000","0.620000","true"
"3x3","uct-1000","1","opportunity_top_two_share","100","0.364249","0.361746","0.366804","true"
"3x3","uct-1000","1","top_two_share_gap","100","0.233251","0.211808","0.255405","true"
"3x3","uct-1000","1","placement_regions","100","5.520000","5.310000","5.730000","true"
"3x3","uct-1000","1","opportunity_regions","100","9.000000","9.000000","9.000000","true"
"3x3","uct-1000","2","mean_active_fronts","100","3.050000","2.874000","3.242000","true"
"3x3","uct-1000","2","mean_dormant_fronts","100","0.656000","0.584000","0.730000","true"
"3x3","uct-1000","2","mean_backlog","100","1.516000","1.394000","1.638000","true"
"3x3","uct-1000","2","multi_active_turn_rate","100","0.946000","0.922000","0.968000","true"
"3x3","uct-1000","2","multi_unattended_turn_rate","100","0.466000","0.406000","0.526000","true"
"3x3","uct-1000","2","decline_from_game_peak","100","1.570000","1.366000","1.788000","true"
"3x3","uct-1000","2","placement_entropy","100","0.772454","0.753852","0.790150","true"
"3x3","uct-1000","2","opportunity_entropy","100","0.966997","0.965422","0.968496","true"
"3x3","uct-1000","2","entropy_gap","100","-0.194543","-0.212321","-0.177276","true"
"3x3","uct-1000","2","placement_hhi","100","0.207556","0.197778","0.217778","true"
"3x3","uct-1000","2","opportunity_hhi","100","0.128773","0.127919","0.129647","true"
"3x3","uct-1000","2","hhi_gap","100","0.078783","0.069656","0.089267","true"
"3x3","uct-1000","2","placement_largest_share","100","0.296667","0.281333","0.312667","true"
"3x3","uct-1000","2","opportunity_largest_share","100","0.214807","0.211807","0.217920","true"
"3x3","uct-1000","2","largest_share_gap","100","0.081859","0.066221","0.098034","true"
"3x3","uct-1000","2","placement_top_two_share","100","0.512667","0.492667","0.533333","true"
"3x3","uct-1000","2","opportunity_top_two_share","100","0.349359","0.346047","0.352603","true"
"3x3","uct-1000","2","top_two_share_gap","100","0.163308","0.144303","0.183231","true"
"3x3","uct-1000","2","placement_regions","100","6.290000","6.060000","6.510000","true"
"3x3","uct-1000","2","opportunity_regions","100","9.000000","9.000000","9.000000","true"
"3x3","uct-1000","3","mean_active_fronts","100","3.070000","2.885000","3.260000","true"
"3x3","uct-1000","3","mean_dormant_fronts","100","0.710000","0.625000","0.802500","true"
"3x3","uct-1000","3","mean_backlog","100","1.532500","1.405000","1.662500","true"
"3x3","uct-1000","3","multi_active_turn_rate","100","0.947500","0.912500","0.975000","true"
"3x3","uct-1000","3","multi_unattended_turn_rate","100","0.487500","0.425000","0.555000","true"
"3x3","uct-1000","3","decline_from_game_peak","100","1.550000","1.372500","1.717500","true"
"3x3","uct-1000","3","placement_entropy","100","0.752077","0.735071","0.768803","true"
"3x3","uct-1000","3","opportunity_entropy","100","0.953516","0.950692","0.956394","true"
"3x3","uct-1000","3","entropy_gap","100","-0.201439","-0.217842","-0.184033","true"
"3x3","uct-1000","3","placement_hhi","100","0.217222","0.208194","0.226389","true"
"3x3","uct-1000","3","opportunity_hhi","100","0.134716","0.133497","0.136039","true"
"3x3","uct-1000","3","hhi_gap","100","0.082506","0.073164","0.091643","true"
"3x3","uct-1000","3","placement_largest_share","100","0.312500","0.297500","0.327500","true"
"3x3","uct-1000","3","opportunity_largest_share","100","0.223560","0.218711","0.228296","true"
