experiment_id,game_index,turn_number,placement_number,mover,target,target_type,supply_source
"uct-10000-self-play","7","3","2","1","O12","objective","S13"
"uct-10000-self-play","7","3","3","1","S12","supply",""
"uct-10000-self-play","7","4","1","2","O01","objective","S02"
"uct-10000-self-play","7","4","2","2","O01","objective","S11"
"uct-10000-self-play","7","4","3","2","S23","supply",""
"uct-10000-self-play","7","5","1","1","O12","objective","S13"
"uct-10000-self-play","7","5","2","1","S32","supply",""
"uct-10000-self-play","7","5","3","1","O21","objective","S31"
"uct-10000-self-play","7","6","1","2","O01","objective","S11"
"uct-10000-self-play","7","6","2","2","O02","objective","S02"
"uct-10000-self-play","7","6","3","2","S21","supply",""
"uct-10000-self-play","7","7","1","1","O21","objective","S31"
"uct-10000-self-play","7","7","2","1","O21","objective","S32"
"uct-10000-self-play","7","7","3","1","S11","supply",""
"uct-10000-self-play","7","8","1","2","O02","objective","S02"
"uct-10000-self-play","7","8","2","2","O10","objective","S21"
"uct-10000-self-play","7","8","3","2","S11","supply",""
"uct-10000-self-play","7","9","1","1","S21","supply",""
"uct-10000-self-play","7","9","2","1","O20","objective","S31"
"uct-10000-self-play","7","9","3","1","O31","objective","S32"
"uct-10000-self-play","7","10","1","2","O02","objective","S02"
"uct-10000-self-play","7","10","2","2","O10","objective","S11"
"uct-10000-self-play","7","10","3","2","S31","supply",""
"uct-10000-self-play","7","11","1","1","O31","objective","S32"
"uct-10000-self-play","7","11","2","1","S11","supply",""
"uct-10000-self-play","7","11","3","1","S31","supply",""
"uct-10000-self-play","7","12","1","2","S11","supply",""
"uct-10000-self-play","7","12","2","2","S31","supply",""
"uct-10000-self-play","7","12","3","2","S32","supply",""
"uct-10000-self-play","7","13","1","1","S31","supply",""
"uct-10000-self-play","7","13","2","1","O03","objective","S13"
"uct-10000-self-play","7","13","3","1","S14","supply",""
"uct-10000-self-play","7","14","1","2","O10","objective","S11"
"uct-10000-self-play","7","14","2","2","S14","supply",""
"uct-10000-self-play","7","14","3","2","S23","supply",""
"uct-10000-self-play","7","15","1","1","O31","objective","S31"
"uct-10000-self-play","7","15","2","1","O03","objective","S13"
"uct-10000-self-play","7","15","3","1","S23","supply",""
"uct-10000-self-play","7","16","1","2","O00","objective","S11"
"uct-10000-self-play","7","16","2","2","S13","supply",""
"uct-10000-self-play","7","16","3","2","S33","supply",""
"uct-10000-self-play","7","17","1","1","S33","supply",""
"uct-10000-self-play","7","17","2","1","O20","objective","S31"
"uct-10000-self-play","7","17","3","1","S21","supply",""
"uct-10000-self-play","7","18","1","2","O00","objective","S11"
"uct-10000-self-play","7","18","2","2","S21","supply",""
"uct-10000-self-play","7","18","3","2","S33","supply",""
"uct-10000-self-play","7","19","1","1","O20","objective","S31"
"uct-10000-self-play","7","19","2","1","S33","supply",""
"uct-10000-self-play","7","19","3","1","S33","supply",""
"uct-10000-self-play","7","20","1","2","O00","objective","S11"
"uct-10000-self-play","7","20","2","2","S23","supply",""
"uct-10000-self-play","7","20","3","2","S34","supply",""
"uct-10000-self-play","7","21","1","1","O22","objective","S33"
