"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"6x6","6x6-seeded-random","52","0.25","12","36","0.777778","0","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-seeded-random","52","0.5","24","72","0.708333","2","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","52","0.75","36","108","0.694444","6","0","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","52","0.9","44","132","0.712121","9","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","53","0.25","12","36","0.722222","0","0","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","53","0.5","24","72","0.652778","1","1","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","53","0.75","36","108","0.629630","5","2","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","53","0.9","44","132","0.613636","6","2","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","54","0.25","12","36","0.833333","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","54","0.5","24","72","0.750000","1","1","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-seeded-random","54","0.75","36","108","0.666667","3","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","54","0.9","44","132","0.643939","4","2","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","55","0.25","12","36","0.777778","1","0","0.723197","0.250000","0.208333","0.555556"
"6x6","6x6-seeded-random","55","0.5","24","72","0.708333","2","0","0.880930","0.250000","0.166667","0.888889"
"6x6","6x6-seeded-random","55","0.75","36","108","0.629630","2","4","0.657732","0.333333","0.263889","0.555556"
"6x6","6x6-seeded-random","55","0.9","44","132","0.628788","6","4","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","56","0.25","12","36","0.777778","0","0","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-seeded-random","56","0.5","24","72","0.569444","2","1","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","56","0.75","36","108","0.546296","3","4","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","56","0.9","44","132","0.560606","5","6","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","57","0.25","12","36","0.777778","1","0","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","57","0.5","24","72","0.694444","3","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","57","0.75","36","108","0.620370","7","2","0.773149","0.416667","0.236111","0.777778"
