"board","experiment_id","game_index","window_first_turn","window_last_turn","window_turns","placements","normalized_entropy","largest_region_share","hhi","region_coverage"
"6x6","6x6-seeded-random","6","18","21","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","6","19","22","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","6","20","23","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","6","21","24","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","6","22","25","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","6","23","26","4","12","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","6","24","27","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","6","25","28","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","6","26","29","4","12","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-seeded-random","6","27","30","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","6","28","31","4","12","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","6","29","32","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","6","30","33","4","12","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-seeded-random","6","31","34","4","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-seeded-random","6","32","35","4","12","0.880930","0.250000","0.166667","0.888889"
"6x6","6x6-seeded-random","6","33","36","4","12","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-seeded-random","6","34","37","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","6","35","38","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","6","36","39","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","6","37","40","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","6","38","41","4","12","0.703352","0.250000","0.222222","0.555556"
"6x6","6x6-seeded-random","6","39","42","4","12","0.690465","0.333333","0.236111","0.555556"
"6x6","6x6-seeded-random","6","40","43","4","12","0.657732","0.333333","0.263889","0.555556"
"6x6","6x6-seeded-random","6","41","44","4","12","0.648149","0.416667","0.277778","0.555556"
"6x6","6x6-seeded-random","6","42","45","4","12","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-seeded-random","6","43","46","4","12","0.762887","0.333333","0.208333","0.666667"
"6x6","6x6-seeded-random","6","44","47","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","6","45","48","4","12","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-seeded-random","7","1","4","4","12","0.775775","0.250000","0.194444","0.666667"
