"board","experiment_id","search_level","game_index","supply_share","objective_share","secured_supply","secured_objectives","secured_supply_events","secured_supply_later_use_rate","mean_regions_used"
"7x7","7x7-uct-0500","uct-0500","32","0.4652777777777778","0.5347222222222222","0","19","0","","2.6875"
"7x7","7x7-uct-0500","uct-0500","33","0.4166666666666667","0.5833333333333334","0","20","0","","2.8125"
"7x7","7x7-uct-0500","uct-0500","34","0.4375","0.5625","3","20","3","0.6666666666666666","2.5416666666666665"
"7x7","7x7-uct-0500","uct-0500","35","0.4652777777777778","0.5347222222222222","0","20","0","","2.625"
"7x7","7x7-uct-0500","uct-0500","36","0.4583333333333333","0.5416666666666666","0","20","0","","2.7708333333333335"
"7x7","7x7-uct-0500","uct-0500","37","0.4305555555555556","0.5694444444444444","0","20","0","","2.6041666666666665"
"7x7","7x7-uct-0500","uct-0500","38","0.4375","0.5625","1","16","1","0","2.7291666666666665"
"7x7","7x7-uct-0500","uct-0500","39","0.5347222222222222","0.4652777777777778","1","15","1","0","2.5833333333333335"
"7x7","7x7-uct-0500","uct-0500","40","0.4861111111111111","0.5138888888888888","2","14","2","0.5","2.7083333333333335"
"7x7","7x7-uct-0500","uct-0500","41","0.4583333333333333","0.5416666666666666","2","21","2","0.5","2.6666666666666665"
"7x7","7x7-uct-0500","uct-0500","42","0.4305555555555556","0.5694444444444444","0","22","0","","2.5"
"7x7","7x7-uct-0500","uct-0500","43","0.4444444444444444","0.5555555555555556","2","21","2","1","2.6458333333333335"
"7x7","7x7-uct-0500","uct-0500","44","0.5277777777777778","0.4722222222222222","4","19","4","0.25","2.5833333333333335"
"7x7","7x7-uct-0500","uct-0500","45","0.4444444444444444","0.5555555555555556","2","18","2","0","2.6041666666666665"
"7x7","7x7-uct-0500","uct-0500","46","0.5","0.5","2","14","2","0.5","2.6458333333333335"
"7x7","7x7-uct-0500","uct-0500","47","0.5069444444444444","0.4930555555555556","0","17","0","","2.625"
"7x7","7x7-uct-0500","uct-0500","48","0.4930555555555556","0.5069444444444444","2","16","2","1","2.6875"
"7x7","7x7-uct-0500","uct-0500","49","0.4513888888888889","0.5486111111111112","3","20","3","1","2.6666666666666665"
"7x7","7x7-uct-0500","uct-0500","50","0.5208333333333334","0.4791666666666667","1","18","1","0","2.5"
"7x7","7x7-uct-1000","uct-1000","1","0.375","0.625","0","21","0","","2.5416666666666665"
"7x7","7x7-uct-1000","uct-1000","2","0.4513888888888889","0.5486111111111112","1","21","1","0","2.5625"
"7x7","7x7-uct-1000","uct-1000","3","0.4027777777777778","0.5972222222222222","1","22","1","1","2.5833333333333335"
"7x7","7x7-uct-1000","uct-1000","4","0.3888888888888889","0.6111111111111112","0","22","0","","2.4791666666666665"
"7x7","7x7-uct-1000","uct-1000","5","0.3680555555555556","0.6319444444444444","0","26","0","","2.7291666666666665"
"7x7","7x7-uct-1000","uct-1000","6","0.4236111111111111","0.5763888888888888","1","20","1","1","2.5625"
"7x7","7x7-uct-1000","uct-1000","7","0.4861111111111111","0.5138888888888888","1","17","1","1","2.75"
"7x7","7x7-uct-1000","uct-1000","8","0.4097222222222222","0.5902777777777778","2","23","2","1","2.4791666666666665"
"7x7","7x7-uct-1000","uct-1000","9","0.4166666666666667","0.5833333333333334","1","21","1","0","2.5833333333333335"
"7x7","7x7-uct-1000","uct-1000","10","0.3958333333333333","0.6041666666666666","2","23","2","0.5","2.5416666666666665"
"7x7","7x7-uct-1000","uct-1000","11","0.4861111111111111","0.5138888888888888","1","21","1","1","2.625"
"7x7","7x7-uct-1000","uct-1000","12","0.3611111111111111","0.6388888888888888","0","23","0","","2.6458333333333335"
"7x7","7x7-uct-1000","uct-1000","13","0.4166666666666667","0.5833333333333334","1","23","1","1","2.5625"
"7x7","7x7-uct-1000","uct-1000","14","0.4652777777777778","0.5347222222222222","2","23","2","0.5","2.5625"
"7x7","7x7-uct-1000","uct-1000","15","0.375","0.625","0","25","0","","2.5"
"7x7","7x7-uct-1000","uct-1000","16","0.3472222222222222","0.6527777777777778","1","23","1","1","2.5833333333333335"
"7x7","7x7-uct-1000","uct-1000","17","0.4027777777777778","0.5972222222222222","1","21","1","0","2.6666666666666665"
"7x7","7x7-uct-1000","uct-1000","18","0.3819444444444444","0.6180555555555556","1","20","1","0","2.625"
"7x7","7x7-uct-1000","uct-1000","19","0.4027777777777778","0.5972222222222222","1","24","1","1","2.4583333333333335"
"7x7","7x7-uct-1000","uct-1000","20","0.4791666666666667","0.5208333333333334","0","19","0","","2.7291666666666665"
"7x7","7x7-uct-1000","uct-1000","21","0.4930555555555556","0.5069444444444444","1","18","1","0","2.6666666666666665"
"7x7","7x7-uct-1000","uct-1000","22","0.3888888888888889","0.6111111111111112","2","20","2","0","2.7708333333333335"
"7x7","7x7-uct-1000","uct-1000","23","0.4583333333333333","0.5416666666666666","0","21","0","","2.5625"
"7x7","7x7-uct-1000","uct-1000","24","0.4513888888888889","0.5486111111111112","3","21","3","0.3333333333333333","2.7291666666666665"
"7x7","7x7-uct-1000","uct-1000","25","0.4027777777777778","0.5972222222222222","2","24","2","0.5","2.5625"
