"board","experiment_id","search_level","game_index","turn_number","progress","active_fronts","backlog_size","dormant_k2","dominant_focus"
"7x7","7x7-uct-1000","uct-1000","12","14","0.2916666666666667","3","1","0","HM"
"7x7","7x7-uct-1000","uct-1000","12","15","0.3125","3","3","1","HH"
"7x7","7x7-uct-1000","uct-1000","12","16","0.3333333333333333","5","3","3",""
"7x7","7x7-uct-1000","uct-1000","12","17","0.3541666666666667","5","4","2","MM"
"7x7","7x7-uct-1000","uct-1000","12","18","0.375","6","3","2",""
"7x7","7x7-uct-1000","uct-1000","12","19","0.3958333333333333","6","4","3",""
"7x7","7x7-uct-1000","uct-1000","12","20","0.4166666666666667","5","2","2",""
"7x7","7x7-uct-1000","uct-1000","12","21","0.4375","5","2","1",""
"7x7","7x7-uct-1000","uct-1000","12","22","0.4583333333333333","5","3","1","LL"
"7x7","7x7-uct-1000","uct-1000","12","23","0.4791666666666667","6","4","2",""
"7x7","7x7-uct-1000","uct-1000","12","24","0.5","5","3","2","LL"
"7x7","7x7-uct-1000","uct-1000","12","25","0.5208333333333334","3","3","1","MM"
"7x7","7x7-uct-1000","uct-1000","12","26","0.5416666666666666","4","1","1",""
"7x7","7x7-uct-1000","uct-1000","12","27","0.5625","5","3","1","MM"
"7x7","7x7-uct-1000","uct-1000","12","28","0.5833333333333334","5","3","2",""
"7x7","7x7-uct-1000","uct-1000","12","29","0.6041666666666666","5","2","2",""
"7x7","7x7-uct-1000","uct-1000","12","30","0.625","4","3","0","MH"
"7x7","7x7-uct-1000","uct-1000","12","31","0.6458333333333334","5","3","2","HL"
"7x7","7x7-uct-1000","uct-1000","12","32","0.6666666666666666","6","4","2","LM"
"7x7","7x7-uct-1000","uct-1000","12","33","0.6875","6","3","1",""
"7x7","7x7-uct-1000","uct-1000","12","34","0.7083333333333334","6","4","2",""
"7x7","7x7-uct-1000","uct-1000","12","35","0.7291666666666666","5","2","1",""
"7x7","7x7-uct-1000","uct-1000","12","36","0.75","5","3","0",""
"7x7","7x7-uct-1000","uct-1000","12","37","0.7708333333333334","7","4","2",""
"7x7","7x7-uct-1000","uct-1000","12","38","0.7916666666666666","8","6","3","MM"
"7x7","7x7-uct-1000","uct-1000","12","39","0.8125","8","6","4","HL"
"7x7","7x7-uct-1000","uct-1000","12","40","0.8333333333333334","6","3","1",""
