"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge2_turn_rate","mean_backlog_size","backlog_ge2_turn_rate","qualifying_departures","revisit_rate_observed","right_censored_rate","mean_revisit_lag","mean_normalized_revisit_lag","revisit_within_four_turns_rate"
"7x7","7x7-seeded-random","seeded-random","81","1","48","3.3958333333333335","0.8958333333333334","3.3958333333333335","0.8958333333333334","79","1","0.0759493670886076","2.8767123287671232","0.05993150684931509","0.7794117647058824"
"7x7","7x7-seeded-random","seeded-random","81","3","48","0.6666666666666666","0.125","3.3958333333333335","0.8958333333333334","32","1","0.03125","4.838709677419355","0.10080645161290322","0.5"
"7x7","7x7-seeded-random","seeded-random","82","2","48","1.8125","0.5833333333333334","3.5625","0.8958333333333334","53","1","0.07547169811320754","3.510204081632653","0.07312925170068024","0.7142857142857143"
"7x7","7x7-seeded-random","seeded-random","82","1","48","3.5625","0.8958333333333334","3.5625","0.8958333333333334","84","0.9871794871794872","0.07142857142857142","2.5974025974025974","0.054112554112554105","0.8026315789473685"
"7x7","7x7-seeded-random","seeded-random","82","3","48","0.7083333333333334","0.16666666666666666","3.5625","0.8958333333333334","34","1","0.08823529411764706","4.387096774193548","0.09139784946236558","0.5625"
"7x7","7x7-seeded-random","seeded-random","83","2","48","1.6458333333333333","0.5833333333333334","3.1666666666666665","0.875","46","1","0.13043478260869565","4.6","0.0958333333333333","0.5581395348837209"
"7x7","7x7-seeded-random","seeded-random","83","1","48","3.1666666666666665","0.875","3.1666666666666665","0.875","73","1","0.0958904109589041","3.1818181818181817","0.06628787878787877","0.7121212121212122"
"7x7","7x7-seeded-random","seeded-random","83","3","48","0.6875","0.14583333333333334","3.1666666666666665","0.875","33","1","0.15151515151515152","5.714285714285714","0.11904761904761905","0.3870967741935484"
"7x7","7x7-seeded-random","seeded-random","84","2","48","1.7291666666666667","0.625","3.4375","0.8958333333333334","48","1","0.10416666666666667","3.7906976744186047","0.07897286821705425","0.6818181818181818"
"7x7","7x7-seeded-random","seeded-random","84","1","48","3.4375","0.8958333333333334","3.4375","0.8958333333333334","82","1","0.08536585365853659","2.6","0.0541666666666667","0.8082191780821918"
"7x7","7x7-seeded-random","seeded-random","84","3","48","0.7291666666666666","0.1875","3.4375","0.8958333333333334","35","1","0.11428571428571428","4.483870967741935","0.09341397849462366","0.5625"
"7x7","7x7-seeded-random","seeded-random","85","2","48","1.75","0.5625","3.2708333333333335","0.8125","51","1","0.058823529411764705","3.7708333333333335","0.07855902777777775","0.7021276595744681"
"7x7","7x7-seeded-random","seeded-random","85","1","48","3.2708333333333335","0.8125","3.2708333333333335","0.8125","73","1","0.0821917808219178","2.985074626865672","0.062189054726368154","0.7846153846153846"
"7x7","7x7-seeded-random","seeded-random","85","3","48","0.6875","0.16666666666666666","3.2708333333333335","0.8125","33","1","0.06060606060606061","4.741935483870968","0.09879032258064514","0.5625"
"7x7","7x7-seeded-random","seeded-random","86","2","48","1.9166666666666667","0.7083333333333334","3.5208333333333335","0.9166666666666666","54","0.9795918367346939","0.09259259259259259","4.166666666666667","0.08680555555555554","0.64"
"7x7","7x7-seeded-random","seeded-random","86","1","48","3.5208333333333335","0.9166666666666666","3.5208333333333335","0.9166666666666666","77","0.9857142857142858","0.09090909090909091","3.2028985507246377","0.06672705314009661","0.7391304347826086"
"7x7","7x7-seeded-random","seeded-random","86","3","48","0.7916666666666666","0.16666666666666666","3.5208333333333335","0.9166666666666666","38","1","0.10526315789473684","5.0588235294117645","0.1053921568627451","0.5142857142857142"
"7x7","7x7-seeded-random","seeded-random","87","2","48","1.8125","0.6875","3.4375","0.9166666666666666","51","0.9782608695652174","0.09803921568627451","3.9555555555555557","0.08240740740740739","0.5957446808510638"
"7x7","7x7-seeded-random","seeded-random","87","1","48","3.4375","0.9166666666666666","3.4375","0.9166666666666666","78","0.9861111111111112","0.07692307692307693","2.8732394366197185","0.05985915492957744","0.7361111111111112"
"7x7","7x7-seeded-random","seeded-random","87","3","48","0.75","0.14583333333333334","3.4375","0.9166666666666666","36","0.96875","0.1111111111111111","4.838709677419355","0.1008064516129032","0.4411764705882353"
"7x7","7x7-seeded-random","seeded-random","88","2","48","1.8958333333333333","0.5833333333333334","3.5833333333333335","0.8958333333333334","52","1","0.07692307692307693","4.416666666666667","0.09201388888888891","0.6170212765957447"
"7x7","7x7-seeded-random","seeded-random","88","1","48","3.5833333333333335","0.8958333333333334","3.5833333333333335","0.8958333333333334","81","1","0.07407407407407407","3.1866666666666665","0.06638888888888887","0.7534246575342466"
"7x7","7x7-seeded-random","seeded-random","88","3","48","0.8125","0.1875","3.5833333333333335","0.8958333333333334","39","1","0.05128205128205128","5.135135135135135","0.10698198198198199","0.5135135135135135"
