"board","experiment_id","search_level","game_index","window_turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","mean_opportunity_adjusted_activity","focus_switch_rate","focus_eligible_fraction","no_dominant_turn_rate"
"7x7-p84","7x7-p84-uct-0100","uct-0100","9","2","3.8214285714285716","0.9642857142857143","52","0.9285714285714286","0.75","0.14285714285714285","0.8928571428571429","3.8603714691483595","1","0.18181818181818182","0.625"
"7x7-p84","7x7-p84-uct-0100","uct-0100","10","2","3.875","0.9464285714285714","53","0.9464285714285714","0.5535714285714286","0.05357142857142857","0.8035714285714286","4.050721427311434","1","0.10909090909090909","0.7142857142857143"
"7x7-p84","7x7-p84-uct-0100","uct-0100","11","2","3.892857142857143","0.9464285714285714","53","0.9464285714285714","0.8392857142857143","0.17857142857142858","0.875","3.8872388143539283","1","0.09090909090909091","0.6428571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","12","2","3.8035714285714284","0.9464285714285714","53","0.9464285714285714","0.875","0.125","0.8928571428571429","3.8407753283770685","1","0.03636363636363636","0.7142857142857143"
"7x7-p84","7x7-p84-uct-0100","uct-0100","13","2","3.875","0.9642857142857143","54","0.9642857142857143","0.6785714285714286","0.10714285714285714","0.8214285714285714","3.822062925239317","0.75","0.14545454545454545","0.6071428571428571"
"7x7-p84","7x7-p84-uct-0100","uct-0100","14","2","4.160714285714286","0.9642857142857143","54","0.9642857142857143","0.7321428571428571","0.08928571428571429","0.8392857142857143","4.213162946181176","0.6","0.09090909090909091","0.6785714285714286"
"7x7-p84","7x7-p84-uct-0100","uct-0100","15","2","4.107142857142857","0.9285714285714286","52","0.9285714285714286","0.8214285714285714","0.19642857142857142","0.9107142857142857","4.1551366477588765","1","0.14545454545454545","0.6428571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","16","2","3.75","0.9107142857142857","51","0.9107142857142857","0.9107142857142857","0.21428571428571427","0.9107142857142857","3.7500005140880055","0.8333333333333334","0.10909090909090909","0.625"
"7x7-p84","7x7-p84-uct-0100","uct-0100","17","2","3.875","0.9464285714285714","52","0.9285714285714286","0.9464285714285714","0.17857142857142858","0.875","3.9178608497888123","1","0.01818181818181818","0.7678571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","18","2","4.089285714285714","0.9464285714285714","53","0.9464285714285714","0.6428571428571429","0.14285714285714285","0.9107142857142857","4.072026516564843","1","0.12727272727272726","0.6964285714285714"
"7x7-p84","7x7-p84-uct-0100","uct-0100","19","2","3.482142857142857","0.9107142857142857","49","0.875","0.625","0.05357142857142857","0.9107142857142857","3.4321459772995198","0.8","0.09090909090909091","0.6428571428571429"
"7x7-p84","7x7-p84-uct-0100","uct-0100","20","2","4.107142857142857","0.9642857142857143","54","0.9642857142857143","0.8571428571428571","0.16071428571428573","0.9107142857142857","4.154306135956886","0.8","0.09090909090909091","0.6964285714285714"
"7x7-p84","7x7-p84-uct-0100","uct-0100","21","2","4.428571428571429","0.9464285714285714","53","0.9464285714285714","0.5357142857142857","0.05357142857142857","0.8392857142857143","4.515475586870969","1","0.05454545454545454","0.75"
"7x7-p84","7x7-p84-uct-0100","uct-0100","22","2","3.8035714285714284","0.9464285714285714","48","0.8571428571428571","0.6607142857142857","0.08928571428571429","0.9107142857142857","3.7706799158041147","1","0.2","0.5535714285714286"
"7x7-p84","7x7-p84-uct-0100","uct-0100","23","2","4.339285714285714","0.9642857142857143","54","0.9642857142857143","0.7678571428571429","0.14285714285714285","0.8214285714285714","4.408168923156605","1","0.09090909090909091","0.75"
"7x7-p84","7x7-p84-uct-0100","uct-0100","24","2","3.5357142857142856","0.8928571428571429","44","0.7857142857142857","0.8571428571428571","0.17857142857142858","0.9107142857142857","3.5090747595057246","0.875","0.14545454545454545","0.6607142857142857"
"7x7-p84","7x7-p84-uct-0100","uct-0100","25","2","4.214285714285714","0.9642857142857143","54","0.9642857142857143","0.8571428571428571","0.23214285714285715","0.8392857142857143","4.363602117664947","1","0.05454545454545454","0.75"
"7x7-p84","7x7-p84-uct-0100","uct-0100","26","2","3.875","0.8571428571428571","44","0.7857142857142857","0.6071428571428571","0.05357142857142857","0.9107142857142857","3.8980322125747557","0.9","0.18181818181818182","0.6071428571428571"
