"board","experiment_id","search_level","game_index","threshold","region","cycle_index","departure_turn","departure_progress","qualification_turn","endpoint_turn","outcome","revisit_turn","revisit_lag","normalized_revisit_lag","right_censored"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","LH","5","42","0.875","43","47","reactivation_revisit","47","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","ML","1","18","0.375","19","20","persistent_revisit","20","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","ML","2","21","0.4375","22","27","reactivation_revisit","27","6","0.125","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","ML","3","29","0.6041666666666666","30","38","reactivation_revisit","38","9","0.1875","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","ML","4","41","0.8541666666666666","42","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MM","1","29","0.6041666666666666","30","32","persistent_revisit","32","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MM","2","33","0.6875","34","35","persistent_revisit","35","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MM","3","36","0.75","37","39","persistent_revisit","39","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MM","4","40","0.8333333333333334","41","42","persistent_revisit","42","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MM","5","47","0.9791666666666666","48","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MH","1","16","0.3333333333333333","17","21","reactivation_revisit","21","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MH","2","25","0.5208333333333334","26","30","reactivation_revisit","30","5","0.10416666666666667","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MH","3","31","0.6458333333333334","32","33","persistent_revisit","33","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MH","4","34","0.7083333333333334","35","36","persistent_revisit","36","2","0.041666666666666664","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MH","5","39","0.8125","40","42","persistent_revisit","42","3","0.0625","false"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","MH","6","45","0.9375","46","48","right_censored","","","","true"
"7x7-p72","7x7-seeded-random","seeded-random","2","2","HL","1","20","0.4166666666666667","21","23","persistent_revisit","23","3","0.0625","false"
