"board","experiment_id","search_level","game_index","focus_switches","unresolved_carryover_switches","unresolved_carryover_rate","mean_carryover_duration","carryover_later_revisited","carryover_later_revisit_rate"
"7x7-p72","7x7-uct-1000","uct-1000","30","6","4","0.6666666666666666","11.25","3","0.75"
"7x7-p72","7x7-uct-1000","uct-1000","31","7","5","0.7142857142857143","7.6","2","0.4"
"7x7-p72","7x7-uct-1000","uct-1000","32","4","4","1","5.75","3","0.75"
"7x7-p72","7x7-uct-1000","uct-1000","33","7","6","0.8571428571428571","10.166666666666666","6","1"
"7x7-p72","7x7-uct-1000","uct-1000","34","7","6","0.8571428571428571","8","5","0.8333333333333334"
"7x7-p72","7x7-uct-1000","uct-1000","35","3","3","1","7","3","1"
"7x7-p72","7x7-uct-1000","uct-1000","36","7","2","0.2857142857142857","5","2","1"
"7x7-p72","7x7-uct-1000","uct-1000","37","5","4","0.8","7.5","4","1"
"7x7-p72","7x7-uct-1000","uct-1000","38","4","3","0.75","6.333333333333333","2","0.6666666666666666"
"7x7-p72","7x7-uct-1000","uct-1000","39","7","6","0.8571428571428571","7.5","4","0.6666666666666666"
"7x7-p72","7x7-uct-1000","uct-1000","40","7","6","0.8571428571428571","5.5","5","0.8333333333333334"
"7x7-p72","7x7-uct-1000","uct-1000","41","0","0","","","0",""
"7x7-p72","7x7-uct-1000","uct-1000","42","1","1","1","22","1","1"
"7x7-p72","7x7-uct-1000","uct-1000","43","5","5","1","6.8","5","1"
"7x7-p72","7x7-uct-1000","uct-1000","44","10","9","0.9","5.555555555555555","7","0.7777777777777778"
"7x7-p72","7x7-uct-1000","uct-1000","45","1","0","0","","0",""
"7x7-p72","7x7-uct-1000","uct-1000","46","3","0","0","","0",""
"7x7-p72","7x7-uct-1000","uct-1000","47","6","6","1","9.833333333333334","6","1"
"7x7-p72","7x7-uct-1000","uct-1000","48","4","4","1","8.25","4","1"
"7x7-p72","7x7-uct-1000","uct-1000","49","9","5","0.5555555555555556","4.4","5","1"
"7x7-p72","7x7-uct-1000","uct-1000","50","2","2","1","7.5","2","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","1","4","3","0.75","6.666666666666667","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","2","5","3","0.6","13.333333333333334","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","3","4","3","0.75","4.333333333333333","2","0.6666666666666666"
"7x7-p84","7x7-p84-seeded-random","seeded-random","4","10","8","0.8","5.375","8","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","5","4","4","1","9.25","4","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","6","4","4","1","4","3","0.75"
"7x7-p84","7x7-p84-seeded-random","seeded-random","7","0","0","","","0",""
"7x7-p84","7x7-p84-seeded-random","seeded-random","8","2","2","1","9","2","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","9","10","10","1","11.1","10","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","10","4","4","1","10","4","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","11","6","5","0.8333333333333334","9","5","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","12","3","3","1","21.333333333333332","2","0.6666666666666666"
"7x7-p84","7x7-p84-seeded-random","seeded-random","13","7","7","1","6.285714285714286","6","0.8571428571428571"
"7x7-p84","7x7-p84-seeded-random","seeded-random","14","3","3","1","11.666666666666666","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","15","5","5","1","10.6","5","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","16","4","4","1","6","3","0.75"
"7x7-p84","7x7-p84-seeded-random","seeded-random","17","3","3","1","3.3333333333333335","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","18","8","7","0.875","11.571428571428571","7","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","19","7","7","1","3.857142857142857","6","0.8571428571428571"
"7x7-p84","7x7-p84-seeded-random","seeded-random","20","5","3","0.6","14","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","21","3","3","1","3.6666666666666665","2","0.6666666666666666"
"7x7-p84","7x7-p84-seeded-random","seeded-random","22","1","1","1","3","1","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","23","5","5","1","9.8","5","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","24","5","4","0.8","13","4","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","25","5","4","0.8","9.75","3","0.75"
"7x7-p84","7x7-p84-seeded-random","seeded-random","26","3","3","1","14.333333333333334","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","27","1","1","1","7","1","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","28","2","2","1","7","2","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","29","6","6","1","7.5","6","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","30","3","3","1","6.333333333333333","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","31","5","5","1","8","5","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","32","5","5","1","5.4","5","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","33","4","2","0.5","4.5","2","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","34","3","3","1","3.3333333333333335","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","35","4","3","0.75","6.666666666666667","3","1"
"7x7-p84","7x7-p84-seeded-random","seeded-random","36","2","2","1","12","2","1"
