"contrast_id","minuend_budget","subtrahend_budget","domain","scope","metric","games_minuend","games_subtrahend","mean_minuend","mean_subtrahend","difference_minuend_minus_subtrahend","ci_low","ci_high"
"96-minus-72","96","72","late-game","band-4","multi_active_turn_rate","50","50","1.000000","1.000000","0.000000","0.000000","0.000000"
"96-minus-72","96","72","late-game","band-4","multi_unattended_turn_rate","50","50","0.983750","0.975000","0.008750","-0.010000","0.031250"
"96-minus-72","96","72","late-game","band-4","placement_entropy","50","50","0.932483","0.917100","0.015383","0.000367","0.030510"
"96-minus-72","96","72","late-game","band-4","opportunity_entropy","50","50","0.993037","0.994001","-0.000964","-0.001967","0.000141"
"96-minus-72","96","72","late-game","band-4","entropy_gap","50","50","-0.060554","-0.076901","0.016347","0.000637","0.031873"
"96-minus-72","96","72","late-game","band-4","placement_hhi","50","50","0.141979","0.151327","-0.009348","-0.017155","-0.001943"
"96-minus-72","96","72","late-game","band-4","opportunity_hhi","50","50","0.114469","0.113973","0.000495","0.000042","0.000964"
"96-minus-72","96","72","late-game","band-4","hhi_gap","50","50","0.027510","0.037354","-0.009843","-0.017513","-0.002056"
"96-minus-72","96","72","late-game","band-4","largest_share_gap","50","50","0.072260","0.096119","-0.023858","-0.040603","-0.006015"
"96-minus-84","96","84","late-game","band-4","mean_active_fronts","50","50","5.930000","5.891429","0.038571","-0.168393","0.245893"
"96-minus-84","96","84","late-game","band-4","mean_dormant_fronts","50","50","1.848750","1.814286","0.034464","-0.073750","0.145000"
"96-minus-84","96","84","late-game","band-4","mean_backlog","50","50","3.575000","3.504286","0.070714","-0.101250","0.230893"
"96-minus-84","96","84","late-game","band-4","multi_active_turn_rate","50","50","1.000000","1.000000","0.000000","0.000000","0.000000"
"96-minus-84","96","84","late-game","band-4","multi_unattended_turn_rate","50","50","0.983750","0.977143","0.006607","-0.009821","0.023571"
"96-minus-84","96","84","late-game","band-4","placement_entropy","50","50","0.932483","0.923067","0.009416","-0.004692","0.022981"
"96-minus-84","96","84","late-game","band-4","opportunity_entropy","50","50","0.993037","0.992611","0.000426","-0.000757","0.001627"
"96-minus-84","96","84","late-game","band-4","entropy_gap","50","50","-0.060554","-0.069544","0.008990","-0.004616","0.023477"
"96-minus-84","96","84","late-game","band-4","placement_hhi","50","50","0.141979","0.147029","-0.005050","-0.011563","0.001522"
"96-minus-84","96","84","late-game","band-4","opportunity_hhi","50","50","0.114469","0.114603","-0.000134","-0.000688","0.000457"
